Latitude loc 1,Longitude loc1,place
17.2359181,80.0496499,Narashimapuram
17.2335311,78.5425543,Adibhatla
17.2472528,80.1514447,Khammam
17.2504371,78.8977037,Choutuppal
17.2619301,78.387971,Shamshabad
17.2738816,78.5486649,Nadergul
17.2901456,78.4936632,Mallapur
17.2970521,78.478202,Shaheen Nagar
17.3040747,78.5364481,YSR Nagar
17.3050874,78.4743396,Chandrayangutta
17.3052765,78.5253226,Badangpet
17.3073458,78.5902143,Injapur
17.3088602,78.5062362,Balapur
17.3125498,78.5363288,Almasguda
17.3140619,78.5613319,B N Reddy Nagar
17.3144099,78.4832415,Barkas
17.3174049,78.5520232,Hastinapuram
17.3186695,78.3586224,Himayat Sagar Lake
17.3186875,78.5430497,Nandi Hills
17.3220253,78.4022942,Rajendranagar mandal
17.3227982,78.5280016,Meerpet
17.3263889,78.5163894,Dhatu Nagar
17.3268277,78.2746658,Moinabad
17.3270709,78.6053386,Hayathnagar
17.3272454,78.4908365,Hafiz Baba Nagar
17.3282207,78.425632,Aramgadh
17.3314654,78.4381968,Sivarampalli
17.3317096,78.5753592,Vanasthalipuram
17.3317842,78.5297637,Jillelaguda
17.3323544,78.46987,Falaknuma
17.3325109,78.5098457,Kanchan Bagh
17.3358031,78.5055751,Lab Quarters
17.3365515,78.3839857,Kismatpur
17.3378675,78.4855344,Uppuguda
17.3388615,78.4929529,Rakshapuram
17.3389992,78.4702215,Engine Bowli
17.3401112,78.4729584,Aliabad
17.3407567,78.4691559,Shamsheer Gunj
17.3413189,78.5315546,Karmanghat
17.341402,78.467735,Shamsher Gunj
17.3422848,78.4778815,Chatrinaka
17.3443852,78.5182617,Champapet
17.3456174,78.4965043,Hasnabad
17.3457176,78.5522296,L. B. Nagar
17.3472352,78.5083082,Santosh Nagar
17.3473756,78.4766152,Lal Darwaza
17.3475108,78.5103532,Durga Bhavani Nagar
17.3481031,78.4954389,Jyothi Colony
17.3495387,78.3601591,Himayathsagar
17.3497919,78.4680902,Shalibanda
17.3499297,78.5522438,RTC Colony
17.3500835,78.3467676,Aziz Nagar
17.3506165,78.4822982,Gowlipura
17.3507756,78.2860538,Chilkur
17.3510775,78.3778232,Kalimandir
17.3513367,78.5625531,Mansoorabad
17.3529457,78.5356595,Saroornagar
17.3535583,78.4989098,Santosh Nagar
17.3553368,78.4432523,Kishan Bagh
17.3563636,78.5102874,Laxmi Nagar
17.3570588,78.4299248,Rambagh Colony
17.3573882,78.5112407,Saidabad
17.3574259,78.4616959,Bahadurpura
17.3574639,78.5109914,Sayeedabad Colony
17.3581141,78.498635,Madannapet Colony
17.3590204,78.4766152,Moghalpura
17.3595152,78.4851396,Yakhutpura
17.3614919,78.4721752,Lal Bazar
17.3625636,78.5000555,Kurmaguda
17.3629719,78.3943263,Bandlaguda Jagir
17.3630425,78.3895553,Hydershakote
17.3631344,78.396519,Sun City
17.3638521,78.4595644,Puranapool
17.3650736,78.5245554,Gowtham Nagar
17.3655876,78.485669,Dabeerpura
17.3658225,78.4142728,Upparpally
17.3668729,78.5242003,Gaddiannaram
17.3669536,78.4503274,Ziaguda
17.3676045,78.3742678,Bairagiguda
17.3676468,78.5097559,New Malakpet
17.3680151,78.4748392,Madina
17.3682203,78.5160343,Bank Colony
17.3684658,78.5315941,Dilsukhnagar
17.3685952,78.5540184,Alkapuri Colony
17.3697457,78.4764376,Nayapul
17.3698887,78.4304712,Attapur
17.3712698,78.4870148,Noorkhan Bazaar
17.3714737,78.5695016,Nagole
17.3716285,78.4909673,Malakpet
17.3728589,78.3496851,Manchirevula
17.3729724,78.5163894,Moosarambagh
17.3730192,78.547636,Kothapet
17.3739335,78.4702215,Afzal Gunj
17.3740393,78.5433501,Maruthi Nagar
17.3744255,78.3913328,Ramdev Guda
17.3748293,78.4704282,Fish Market
17.3756794,78.4940183,Chaderghat
17.3759576,78.537056,Chaitanyapuri
17.3762692,78.4791016,Kaman
17.3768188,78.4822982,Gowliguda
17.3780084,78.5052574,Old Malakpet
17.3782003,78.4207594,Langar Houz
17.3787821,78.4374024,Gudimalkapur
17.378812,78.4374017,Karwan
17.3789045,78.4680902,Goshamahal
17.380341,78.4115938,Sajjid Colony
17.3806863,78.3244788,Gandipet
17.3807016,78.4605691,Sitaram Bagh
17.3828402,78.4747504,Mozamjahi Market
17.3847636,78.4033392,Golconda Fort
17.3852774,78.5277506,Ramanthapur
17.3858323,78.4794274,Koti
17.3861371,78.4638649,Nampally
17.3865433,78.4993452,Nimboliadda
17.3868117,78.4538802,Asif Nagar
17.3869595,78.3692899,Alkapur Twp
17.3881601,78.4645379,Aghapura
17.388837,78.5075126,Golnaka
17.389285,78.4588539,Mallepally
17.3893169,78.4844292,Ramkoti
17.3894881,78.3576404,Narsingi
17.3900857,78.4933352,Kachiguda
17.3906569,78.3752624,Neknampur
17.3913784,78.4783369,Sultan Bazar
17.3918983,78.4787464,Bogulkunta
17.3919114,78.4290079,Rethibowli
17.3920012,78.4969058,Barkatpura
17.3920179,78.5162559,Amberpet
17.3920764,78.4755496,Chirag Ali Lane
17.3921964,78.5403524,Ramanthapur
17.3922792,78.4602749,Bazar Ghat
17.3925953,78.5088008,Tilak Nagar
17.393,78.473,Abids
17.3932777,78.3411448,Kokapet
17.3938227,78.4834733,Hyderguda
17.3942886,78.4822982,King Koti
17.3945736,78.4247435,Kakatiya Nagar
17.3947265,78.451538,Vijaynagar Colony
17.3947768,78.4531696,Vijaya Nagar Colony
17.3948227,78.4290079,Nanal Nagar
17.3957847,78.4311944,Mehdipatnam
17.3959949,78.5166531,Bagh Amberpet
17.3961832,78.4773256,Gun Foundry
17.3963738,78.4680902,Red Hills
17.3964311,78.4815879,Old MLA Quarters
17.3965018,78.3926853,Mini Gulshan Colony
17.3966788,78.4858499,Vittalwadi
17.396957,78.3764948,Alkapoor Township
17.3970457,78.3799564,Puppalaguda
17.3979368,78.4574329,AC Guards
17.3981907,78.4993452,Bagh Lingampally
17.3983774,78.5582652,Uppal
17.3985568,78.4929521,Narayanguda
17.3989544,78.4624064,Redhills
17.3990023,78.4156933,Toli Chowki
17.3990949,78.4773256,Basheer Bagh
17.3991205,78.4460041,Humayun Nagar
17.3991274,78.5017083,New Nallakunta
17.3992721,78.4627103,Lakdikapul
17.4009377,78.4965043,Chikkadpally
17.4011088,78.4556565,Shantinagar Colony
17.40127,78.4147925,Janaki Nagar Colony
17.4015693,78.5199399,DD Colony
17.4020637,78.4840052,Himayatnagar
17.4025719,78.4933081,RTC Cross Road
17.403307,78.4529396,Masab Tank
17.4033851,78.4149439,Paramount Hills
17.4035987,78.4048405,Aziz Bagh Colony
17.4046704,78.4730632,Adarsh Nagar
17.4046741,78.5107083,Adikmet
17.4047632,78.6009619,Medipalli
17.4047682,78.5653697,Beerappagadda
17.4056632,78.5087393,Vittal Nagar
17.4059875,78.3908428,Shaikpet
17.4062155,78.3763486,Manikonda
17.4062834,78.489987,Ashok Nagar
17.4065284,78.5139136,Vidya Nagar
17.4066234,78.5437741,Habsiguda
17.4066765,78.4076841,Brindavan Colony
17.4071323,78.3906218,OU Colony
17.4073581,78.4567223,Chintal
17.4077591,78.4268703,MLA Colony
17.4077808,78.6022767,Medipally
17.4079957,78.4801671,Gagan Mahal
17.4082671,78.4037742,Lakshmi Nagar Colony
17.4086859,78.4125044,Hakimpet
17.4088912,78.5112409,Ramnagar Gundu
17.4093433,78.4819903,Domalguda
17.4103214,78.3813813,Muppas Panchavati Colony
17.4105858,78.4652316,Khairtabad
17.4110016,78.4318508,NBT Nagar
17.4111573,78.5747627,Dwaraka Nagar
17.4125847,78.5053248,Ram Nagar
17.4136846,78.4922829,Gandhi Nagar
17.4138552,78.5783446,Boduppal
17.4139017,78.5855965,Medchal–Malkajgiri district
17.4142212,78.379714,Chitrapuri Colony
17.4146468,78.5131938,Parsigutta
17.4148368,78.4851396,Lower Tank Bund
17.4148832,78.5738923,Balaji Hill Colony
17.4150011,78.544435,Vikrampuri
17.4159668,78.4327392,Income Tax Colony
17.4160258,78.4113656,Film Nagar
17.4161086,78.4915429,Gandhinagar
17.4164876,78.5135489,Warasiguda
17.416889,78.43867,Banjara Hills
17.4169142,78.3423777,Nanakramguda
17.4170509,78.4906774,Kavadiguda
17.417074,78.4361149,IAS Officers Quaters
17.4178862,78.3641592,Khajaguda
17.4181528,78.4545907,Irram Manzil Colony
17.4196548,78.4990004,Musheerabad
17.4206828,78.4293633,BN Reddy Colony
17.4211137,78.5494043,HMT Nagar
17.4211501,78.4062623,Navanirman Nagar Colony
17.4213978,78.4000597,Prashasan Nagar
17.4218115,78.5614716,Chilkanagar
17.4221727,78.3818229,Raidurgam
17.4229906,78.4066178,Journalist Colony
17.4237128,78.4584013,Somajiguda
17.4238798,78.4738215,Hussain Sagar
17.4245199,78.4511272,Punjagutta
17.4248398,78.5131938,Namalagundu
17.4248522,78.6448085,Pocharam
17.4253481,78.5150327,Padmarao Nagar
17.4267948,78.5193163,Seethaphalmandi
17.4268846,78.5453224,VST Colony
17.4268897,78.4048405,Nandagiri Hills
17.4273115,78.4993452,Bhoiguda
17.4280213,78.430358,Kamalapuri Colony
17.4284213,78.5279593,Mettuguda
17.4300625,78.5415931,Tarnaka
17.4302094,78.5107801,Chilakalguda
17.4305565,78.4270534,Krishna Nagar
17.4321456,78.4384747,Srinagar Colony
17.4325894,78.4070691,Jubilee Hills
17.4326402,78.4908221,Rani Gunj
17.4327345,78.4425108,Yella Reddy Guda
17.4336762,78.5545455,Nacharam
17.4340479,78.4269776,Yousufguda
17.4345426,78.4584121,Kundanbagh Colony
17.4365995,78.5213601,Lalaguda
17.4366282,78.4156699,Gayatri Hills
17.4370346,78.444465,Maitrivanam
17.4375084,78.4482441,Ameerpet
17.4376372,78.4766152,Patigadda
17.4380699,78.4279419,Yadagiri Nagar
17.4388159,78.434546,Madhura Nagar
17.4388655,78.5415953,Lalapet
17.439126,78.5021861,Regimental Bazaar
17.4393056,78.4055514,Venkatagiri
17.4399295,78.4982741,Secunderabad
17.4400802,78.3489168,Gachibowli
17.440527,78.422826,Rahmat Nagar
17.4414845,78.4801671,Sindhi Colony
17.4425851,78.4390881,Vengal Rao Nagar
17.4434646,78.3771953,HITEC City
17.4434872,78.4147925,MP and MLAs Colony
17.4435941,78.2508532,Kollur
17.4436497,78.4458259,Sanjeeva Reddy Nagar
17.443881,78.5213601,Tukaram Gate
17.4440255,78.3991533,Kakatiya Hills
17.444458,78.5313007,New Mirjalguda
17.4447068,78.4663812,Begumpet
17.4447952,78.3998642,Kavuri Hills Phase 1
17.4459764,78.3860786,Silicon Valley
17.4465579,78.3912573,Ayyappa Society
17.4467323,78.4204789,Karmika Nagar
17.4474475,78.3569275,Indira Nagar
17.4485835,78.3908035,Madhapur
17.4492773,78.4183478,Moti Nagar
17.4492973,78.3650231,Anjaiah Nagar
17.4496324,78.3707122,Siddiq Nagar
17.4503375,78.5322481,Malkajgiri
17.4503497,78.4076841,Site-3
17.451398,78.3092426,Gopanapalli
17.4523906,78.5060029,West Marredpally
17.4526394,78.4219005,Kalyan Nagar
17.4531346,78.6851105,Ghatkesar
17.4534663,78.4130138,Borabanda
