Sno,Date,minute,Hour,Day_of_week,Day_of_year,Latitude loc 14,Longitude loc15,icon,windSpeed,visibility,Accident,,,
1,43313,0,7,4,213,17.4400802,78.3489168,partly-cloudy-day,6.86,16.093,1,,,
2,43313,22,9,4,213,17.4160258,78.4113656,partly-cloudy-day,6.56,16.093,1,,,
3,43313,14,11,4,213,17.4160258,78.4113656,partly-cloudy-day,6.05,16.093,1,,,
4,43313,30,12,4,213,17.4400802,78.3489168,cloudy,5.24,16.093,1,,,
5,43313,25,14,4,213,17.4033851,78.4149439,cloudy,3.69,16.093,1,,,
6,43313,38,14,4,213,17.4399295,78.4982741,cloudy,3.36,16.093,1,,,
7,43313,40,16,4,213,17.4836979,78.3158338,cloudy,4.01,15.663,1,,,
8,43313,12,18,4,213,17.4485835,78.3908035,cloudy,4.26,16.093,1,,,
9,43313,25,18,4,213,17.3716285,78.4909673,cloudy,4.58,16.093,1,,,
10,43313,20,19,4,213,17.4229906,78.4066178,cloudy,4.69,16.093,1,,,
11,43313,40,19,4,213,17.4321456,78.4384747,cloudy,4.88,16.093,1,,,
12,43314,20,8,5,214,17.4639345,78.4282972,cloudy,6.74,16.093,1,,,
13,43314,30,8,5,214,17.4813993,78.4489935,cloudy,6.61,16.093,1,,,
14,43314,30,8,5,214,17.4400802,78.3489168,cloudy,7.07,16.093,1,,,
15,43314,35,8,5,214,17.4164876,78.5135489,cloudy,6.87,16.093,1,,,
16,43314,15,11,5,214,17.4340479,78.4269776,cloudy,5.42,16.093,1,,,
17,43314,10,13,5,214,17.3457176,78.5522296,cloudy,3.9,16.093,1,,,
18,43314,25,13,5,214,17.4698577,78.3578246,cloudy,3.59,16.093,1,,,
19,43314,50,13,5,214,17.4684272,78.5354118,cloudy,3.67,16.093,1,,,
20,43314,55,13,5,214,17.4798291,78.4812494,cloudy,3.61,16.093,1,,,
21,43314,0,14,5,214,17.4253481,78.5150327,cloudy,3.63,16.093,1,,,
22,43314,25,16,5,214,17.3457176,78.5522296,partly-cloudy-night,3.7,16.093,1,,,
23,43314,25,19,5,214,17.4698577,78.3578246,partly-cloudy-night,3.86,16.093,1,,,
24,43314,15,20,5,214,17.4399295,78.4982741,partly-cloudy-night,4.13,16.093,1,,,
25,43314,15,20,5,214,17.4399295,78.4982741,partly-cloudy-night,4.13,16.093,1,,,
26,43314,25,20,5,214,17.4399295,78.4982741,partly-cloudy-night,4.19,16.093,1,,,
27,43314,30,20,5,214,17.3574639,78.5109914,partly-cloudy-night,4.42,16.093,1,,,
28,43314,46,21,5,214,17.4485835,78.3908035,cloudy,4.64,16.093,1,,,
29,43315,5,4,6,215,17.4399295,78.4982741,partly-cloudy-day,6.65,16.093,1,,,
30,43315,45,5,6,215,17.4148368,78.4851396,cloudy,6.42,16.093,1,,,
31,43315,20,8,6,215,17.5287427,78.266725,partly-cloudy-day,7.09,16.093,1,,,
32,43315,55,10,6,215,17.2901456,78.4936632,partly-cloudy-day,6.4,16.093,1,,,
33,43315,0,12,6,215,17.3716285,78.4909673,partly-cloudy-day,5.27,16.093,1,,,
34,43315,10,15,6,215,17.4698577,78.3578246,cloudy,3.33,16.093,1,,,
35,43315,53,15,6,215,17.4492973,78.3650231,cloudy,3.28,16.093,1,,,
36,43315,20,17,6,215,17.4062155,78.3763486,cloudy,3.79,16.093,1,,,
37,43315,25,17,6,215,17.3942886,78.4822982,cloudy,3.75,16.093,1,,,
38,43315,45,17,6,215,17.4698577,78.3578246,cloudy,4.01,16.093,1,,,
39,43315,0,18,6,215,17.4639345,78.4282972,cloudy,4.21,16.093,1,,,
40,43315,5,18,6,215,17.4930135,78.4057506,cloudy,4.21,16.093,1,,,
41,43315,45,18,6,215,17.4160258,78.4113656,cloudy,4.47,16.093,1,,,
42,43315,10,19,6,215,17.4503375,78.5322481,cloudy,4.62,16.093,1,,,
43,43315,30,21,6,215,17.4698577,78.3578246,cloudy,5.14,16.093,1,,,
44,43315,0,22,6,215,17.3730192,78.547636,cloudy,5.25,16.093,1,,,
45,43315,0,23,6,215,17.4066234,78.5437741,cloudy,5.43,16.093,1,,,
46,43316,59,9,7,216,17.4066234,78.5437741,partly-cloudy-day,7.14,16.093,1,,,
47,43316,10,13,7,216,17.3865433,78.4993452,partly-cloudy-day,4.77,16.093,1,,,
48,43316,10,13,7,216,17.4698577,78.3578246,partly-cloudy-day,4.89,16.093,1,,,
49,43316,15,13,7,216,17.3957847,78.4311944,partly-cloudy-night,4.74,16.093,1,,,
50,43316,20,14,7,216,17.5722729,78.399696,partly-cloudy-night,4.32,11.5,1,,,
51,43316,30,17,7,216,17.4399295,78.4982741,partly-cloudy-night,4.44,16.093,1,,,
52,43316,50,18,7,216,17.4836979,78.3158338,partly-cloudy-night,4.93,12.303,1,,,
53,43316,30,21,7,216,17.4698577,78.3578246,partly-cloudy-night,5.77,16.093,1,,,
54,43316,25,23,7,216,17.2335311,78.5425543,cloudy,5.88,16.093,1,,,
55,43317,55,2,1,217,17.2335311,78.5425543,partly-cloudy-day,7.43,16.093,1,,,
56,43317,55,6,1,217,17.4400802,78.3489168,partly-cloudy-day,7.85,16.093,1,,,
57,43317,19,7,1,217,17.3630425,78.3895553,partly-cloudy-day,7.89,16.093,1,,,
58,43317,25,8,1,217,17.3938227,78.4834733,partly-cloudy-day,7.54,16.093,1,,,
59,43317,40,8,1,217,17.4399295,78.4982741,partly-cloudy-day,7.08,16.093,1,,,
60,43317,45,9,1,217,17.4160258,78.4113656,partly-cloudy-day,7.1,16.093,1,,,
61,43317,25,10,1,217,17.3716285,78.4909673,partly-cloudy-day,6.95,16.093,1,,,
62,43317,0,12,1,217,17.4399295,78.4982741,partly-cloudy-day,5.35,16.093,1,,,
63,43317,50,12,1,217,17.4375084,78.4482441,partly-cloudy-day,4.16,16.093,1,,,
64,43317,10,15,1,217,17.4326402,78.4908221,partly-cloudy-night,2.98,16.093,1,,,
65,43317,32,18,1,217,17.3716285,78.4909673,cloudy,5.35,16.093,1,,,
66,43317,3,20,1,217,17.4698577,78.3578246,cloudy,6.02,16.093,1,,,
67,43317,20,20,1,217,17.4698577,78.3578246,cloudy,6.22,16.093,1,,,
68,43317,55,22,1,217,17.3325109,78.5098457,cloudy,6.65,16.093,1,,,
69,43317,10,23,1,217,17.380341,78.4115938,cloudy,6.46,16.093,1,,,
70,43317,55,23,1,217,17.4336762,78.5545455,cloudy,6.13,16.093,1,,,
71,43319,25,12,3,219,17.4833526,78.3870668,cloudy,4.63,16.093,1,,,
72,43319,35,16,3,219,17.4148368,78.4851396,cloudy,5.31,16.093,1,,,
73,43319,0,18,3,219,17.4033851,78.4149439,cloudy,6.25,16.093,1,,,
74,43319,0,21,3,219,17.3529457,78.5356595,cloudy,6.59,16.093,1,,,
75,43319,10,21,3,219,17.4380699,78.4279419,cloudy,6.24,16.093,1,,,
76,43319,0,22,3,219,17.3990023,78.4156933,cloudy,6.6,16.093,1,,,
77,43320,10,4,4,220,17.4546797,78.5192298,cloudy,7.49,16.093,1,,,
